!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),True
!def(HAVE_ERF),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
!def(USE_SYSTEM_TIME),True
def(TEST_TERMDOC),True
True,!def(BADRAND)
True,!def(NO_LOCALE_H)
True,!def(HAVE_ERFC)
True,def(BITMAPDEBUG)
True,!def(HAVE_ERF)
True,def(TEST_STRFTIME)
True,def(NO_LOCALE_H)
!def(BADRAND),True
True,!def(LITE)
def(BADRAND),True
True,!def(USE_SYSTEM_TIME)
!def(LITE),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
