!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
True,def(TEST_STRFTIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(USE_SYSTEM_TIME),True
True,def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
True,(def(VMS)&!def(MSDOS))
True,!def(HAVE_ERFC)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
True,!def(HAVE_ERF)
!def(NO_LOCALE_H),True
True,!def(BADRAND)
def(USE_SYSTEM_TIME),True
True,def(NO_LOCALE_H)
!def(LITE),True
True,!def(NO_LOCALE_H)
def(BADRAND),True
def(TEST_TERMDOC),True
True,!def(LITE)
!def(BADRAND),True
True,!def(USE_SYSTEM_TIME)
