!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(HAVE_ERF)
!def(OSK),True
True,!def(NO_LOCALE_H)
!def(LITE),True
def(BADRAND),True
!def(NO_LOCALE_H),True
!def(USE_SYSTEM_TIME),True
True,def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(MSDOS),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
!def(HAVE_ERFC),True
True,def(TEST_TIME)
True,!def(HAVE_ERFC)
def(NO_LOCALE_H),True
True,!def(BADRAND)
def(USE_SYSTEM_TIME),True
def(TEST_STRFTIME),True
True,def(BADRAND)
!def(BADRAND),True
!def(HAVE_ERF),True
