!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BADRAND),True
!def(BADRAND),True
True,!def(BADRAND)
True,!def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
True,def(TEST_STRFTIME)
!def(USE_SYSTEM_TIME),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
True,!def(HAVE_ERF)
def(USE_MOUSE),True
def(USE_SYSTEM_TIME),True
def(PM3D),True
True,def(BITMAPDEBUG)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
!def(HAVE_ERF),True
True,(def(VMS)&!def(MSDOS))
True,!def(HAVE_ERFC)
