!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
def(BADRAND),True
True,!def(HAVE_ERF)
True,!def(HAVE_ERFC)
True,!def(LITE)
True,!def(NO_LOCALE_H)
True,def(NO_LOCALE_H)
True,!def(USE_SYSTEM_TIME)
True,!def(BADRAND)
True,def(BITMAPDEBUG)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
!def(USE_SYSTEM_TIME),True
!def(BADRAND),True
True,def(TEST_STRFTIME)
def(USE_SYSTEM_TIME),True
!def(HAVE_ERFC),True
def(TEST_STRFTIME),True
True,(def(VMS)&!def(MSDOS))
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(LITE),True
