!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(GP_ISVAR)
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
def(PROTOTYPES),True
True,def(TEST_STRFTIME)
!def(GP_ISVAR),True
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),True
True,(!def(AMIGA_SC_6_1)&!def(PM3D))
def(TEST_TERMDOC),True
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES))
def(TEST_STRFTIME),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(PM3D),True
True,!def(USE_SYSTEM_TIME)
True,!def(AMIGA_SC_6_1)
True,def(PROTOTYPES)
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
!def(USE_SYSTEM_TIME),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),def(USE_ULIG_FILLEDBOXES)
