!def(__GNUC__),sc_debug,exclusion,Function,4
True,set_sec_env,exclusion,Function,4
True,generate_key,additon,Function,4
def(HAVE_ZLIB_H),sc_strerror,type,Function,4
def(HAVE_OPENSSL),read_ssh_key,specifier,Function,4
True,sc_pkcs15_print_id,exclusion,Function,4
True,infocamere_1400_set_sec_env,additon,Function,4
True,sc_pkcs15init_generate_key,exclusion,Function,4
