def(ENABLE_OPENSSL),sc_pkcs11_verify_init,parameter,Function,3
True,usage,additon,Function,3
True,sc_do_log,additon,Function,3
def(FORCE_VERIFY_RUTOKEN),sc_strerror,additon,Function,3
True,sc_strerror,additon,Function,3
