def(HAVE_OPENSSL),read_ssh_key,specifier,Function,4
def(HAVE_ZLIB_H),sc_strerror,type,Function,4
True,sc_unlock,additon,Function,4
def(USE_PKCS15_INIT),pkcs15_create_object,exclusion,Function,4
True,sc_path_set,additon,Function,4
True,sc_do_log,additon,Function,4
True,sc_read_binary,additon,Function,4
True,pkcs15_dobj_ops,exclusion,Variable,4
True,rutoken_check_sw,additon,Function,4
True,pkcs15_cert_ops,exclusion,Variable,4
True,pkcs15_prkey_ops,exclusion,Variable,4
True,sc_format_apdu,additon,Function,4
True,fw_data,exclusion,Variable,4
True,pkcs15_pubkey_ops,exclusion,Variable,4
True,p11card,additon,Variable,4
True,sc_lock,additon,Function,4
True,sc_file_free,additon,Function,4
True,sc_strerror,additon,Function,4
True,sc_transmit_apdu,additon,Function,4
True,card,additon,Variable,4
True,rutoken_select_file,additon,Function,4
