!def(HAVE_STRLCPY),strlcpy,additon,Function,7
def(HAVE_OPENSSL),rsa_der_len,additon,Variable,7
True,card,additon,Variable,7
True,append_file,additon,Function,7
True,usage,additon,Function,7
def(USE_PKCS15_INIT),pkcs15init_unbind,additon,Function,7
True,p11card,additon,Variable,7
True,profile,additon,Variable,7
def(COSM_EXTENDED),sc_strerror,exclusion,Function,7
True,attr,additon,Variable,7
True,sc_pkcs15init_unbind,exclusion,Function,7
True,attr_find2,exclusion,Function,7
True,pin,additon,Variable,7
def(HAVE_OPENSSL),rsa_der,additon,Variable,7
def(HAVE_OPENSSL),extract_key,additon,Function,7
True,do_sign,additon,Function,7
True,p15card,additon,Variable,7
True,cert,additon,Variable,7
True,sc_pkcs15_decode_pubkey,additon,Function,7
True,sc_pkcs15_encode_pubkey,additon,Function,7
True,sc_pkcs15_encode_pubkey_rsa,exclusion,Function,7
True,session,additon,Variable,7
True,sign,exclusion,Function,7
True,sc_append_file_id,exclusion,Function,7
True,sc_pkcs15_decode_pubkey_rsa,exclusion,Function,7
True,sc_strerror,exclusion,Function,7
True,keyLocation,additon,Variable,7
