!def(HAVE_GETLINE),
def(MPS_CATCH_FPE),
!def(mpq_out_str),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
!def(mpq_swap),
!def(DISABLE_DEBUG),
!def(HAVE_FMEMOPEN),
!def(mpf_pow_ui),
!def(mpz_tstbit),
True,
!def(mpz_swap),
!def(mpf_swap),
