!def(mpq_out_str),
!def(mpf_pow_ui),
!def(DISABLE_DEBUG),
!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_tstbit),
!def(mpf_swap),
True,
!def(NOMPTEMP),
!def(mpq_swap),
