!def(mpf_pow_ui),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_out_str),
True,
!def(mpz_swap),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpq_swap),
