!def(mpz_tstbit),
!def(mpz_swap),
!def(NOMPTEMP),
!def(mpf_swap),
!def(mpq_swap),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
