!def(DISABLE_DEBUG),
!def(mpf_swap),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
True,
!def(mpz_swap),
