!def(mpq_out_str),
!def(HAVE_GETLINE),
def(MPS_CATCH_FPE),
!def(mpf_swap),
True,
!def(mpz_swap),
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(mpz_tstbit),
