!def(__WINDOWS),
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpq_swap),
def(MPS_CATCH_FPE),
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
True,
!def(mpz_swap),
!def(mpq_out_str),
