!def(mpf_swap),
!def(DISABLE_DEBUG),
!def(mpz_swap),
!def(mpq_swap),
def(MPS_CATCH_FPE),
!def(mpf_pow_ui),
True,
!def(mpz_tstbit),
!def(mpq_out_str),
