!def(HAVE_GETLINE),
def(NICE_DEBUG),
!def(HAVE_FMEMOPEN),
!def(mpq_out_str),
def(MPS_CATCH_FPE),
!def(mpq_swap),
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpz_swap),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
True,
