!def(DISABLE_DEBUG),
!def(HAVE_GETLINE),
!def(mpq_swap),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
!def(mpf_swap),
True,
!def(mpz_tstbit),
