!def(NOMPTEMP),
!def(mpf_swap),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(DISABLE_DEBUG),
True,
!def(mpq_swap),
