!def(NOMPTEMP),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpf_swap),
!def(mpq_swap),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpf_pow_ui),
