!def(NOMPTEMP),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(mpq_out_str),
!def(mpz_tstbit),
!def(mpz_swap),
True,
