!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpf_pow_ui),
!def(DISABLE_DEBUG),
!def(NOMPTEMP),
!def(mpq_out_str),
!def(mpz_tstbit),
!def(mpq_swap),
!def(mpz_swap),
