!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_swap),
!def(mpz_swap),
!def(mpq_out_str),
True,
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(NOMPTEMP),
