!def(DISABLE_DEBUG),
!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpf_swap),
True,
!def(mpf_pow_ui),
