!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
!def(mpz_swap),
True,
!def(mpz_tstbit),
!def(mpq_swap),
