!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_swap),
!def(mpf_swap),
