!def(HAVE_GETLINE),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
True,
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(HAVE_FMEMOPEN),
!def(mpq_out_str),
def(MPS_CATCH_FPE),
!def(mpf_swap),
!def(DISABLE_DEBUG),
!def(mpq_swap),
