(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(NOMPTEMP),
!def(mpq_swap),
True,
!def(DISABLE_DEBUG),
!def(mpz_swap),
!def(mpf_swap),
!def(mpf_pow_ui),
!def(mpz_tstbit),
!def(mpq_out_str),
