!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpf_swap),
!def(mpz_swap),
!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
True,
!def(mpq_swap),
