!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpq_out_str),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpz_tstbit),
True,
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
