!def(mpz_swap),
!def(mpq_out_str),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
True,
!def(mpf_swap),
