!def(mpz_swap),
!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_out_str),
!def(mpf_swap),
True,
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_swap),
