!def(mpf_swap),
!def(mpq_out_str),
!def(NOMPTEMP),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(mpz_swap),
True,
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpf_pow_ui),
