!def(NOMPTEMP),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_swap),
True,
!def(mpz_swap),
!def(mpq_out_str),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpz_tstbit),
