!def(mpf_pow_ui),
!def(mpf_swap),
!def(NOMPTEMP),
!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpq_out_str),
