!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(mpf_swap),
def(MPS_CATCH_FPE),
!def(HAVE_GETLINE),
!def(mpz_swap),
True,
!def(mpq_out_str),
!def(mpz_tstbit),
