!def(mpq_swap),
!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(NOMPTEMP),
!def(mpz_swap),
!def(DISABLE_DEBUG),
!def(mpq_out_str),
True,
!def(mpf_swap),
!def(mpz_tstbit),
