!def(NOMPTEMP),
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpq_out_str),
!def(mpf_swap),
!def(mpz_swap),
True,
