!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpf_pow_ui),
True,
!def(mpq_swap),
!def(mpq_out_str),
!def(NOMPTEMP),
