!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(HAVE_GETLINE),
def(MPS_CATCH_FPE),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_swap),
True,
!def(mpq_swap),
