!def(mpq_swap),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
!def(mpf_swap),
!def(mpz_swap),
True,
!def(mpq_out_str),
