!def(mpz_swap),
!def(mpf_swap),
!def(DISABLE_DEBUG),
!def(mpq_swap),
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_tstbit),
