!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpz_swap),
!def(DISABLE_DEBUG),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_tstbit),
!def(mpf_swap),
!def(mpq_swap),
True,
