!def(mpq_out_str),
!def(mpf_pow_ui),
!def(mpz_swap),
!def(NOMPTEMP),
!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
True,
!def(mpf_swap),
