!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpq_out_str),
!def(mpq_swap),
!def(DISABLE_DEBUG),
True,
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(NOMPTEMP),
