!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(mpf_swap),
True,
!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpz_tstbit),
