(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
!def(mpz_tstbit),
True,
!def(mpq_out_str),
!def(mpf_swap),
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpz_swap),
