!def(mpf_pow_ui),
!def(DISABLE_DEBUG),
!def(NOMPTEMP),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
True,
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpq_swap),
!def(mpq_out_str),
