!def(mpq_out_str),
!def(mpf_swap),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_swap),
!def(DISABLE_DEBUG),
!def(mpq_swap),
