!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpf_swap),
!def(DISABLE_DEBUG),
!def(mpz_swap),
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpq_out_str),
