!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
True,
!def(HAVE_GETLINE),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpq_swap),
!def(mpf_swap),
!def(mpq_out_str),
