!def(mpf_swap),
!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_pow_ui),
!def(mpz_tstbit),
True,
!def(DISABLE_DEBUG),
!def(NOMPTEMP),
