!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
True,
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpf_swap),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpq_out_str),
