!def(mpf_pow_ui),
!def(mpz_tstbit),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(NOMPTEMP),
True,
!def(mpz_swap),
!def(mpq_swap),
!def(mpf_swap),
