!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_swap),
!def(mpz_tstbit),
!def(NOMPTEMP),
True,
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpq_out_str),
