!def(mpf_pow_ui),
!def(mpq_out_str),
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(DISABLE_DEBUG),
True,
!def(mpf_swap),
!def(mpz_tstbit),
