!def(mpq_out_str),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpz_swap),
def(MPS_CATCH_FPE),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
True,
!def(mpf_swap),
