!def(mpq_out_str),
!def(HAVE_FMEMOPEN),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
True,
!def(DISABLE_DEBUG),
!def(mpz_swap),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
!def(mpq_swap),
!def(mpz_tstbit),
!def(mpf_swap),
!def(HAVE_GETLINE),
