!def(DISABLE_DEBUG),
!def(HAVE_FMEMOPEN),
!def(mpz_swap),
!def(mpf_pow_ui),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
!def(mpz_tstbit),
!def(HAVE_GETLINE),
!def(mpf_swap),
True,
!def(mpq_swap),
!def(mpq_out_str),
def(MPS_CATCH_FPE),
