!def(mpq_out_str),
!def(mpz_swap),
!def(HAVE_GETLINE),
!def(mpf_swap),
def(MPS_CATCH_FPE),
!def(mpz_tstbit),
!def(mpq_swap),
!def(DISABLE_DEBUG),
True,
!def(mpf_pow_ui),
