!def(HAVE_GETLINE),
!def(mpz_tstbit),
!def(mpq_out_str),
!def(mpf_pow_ui),
!def(mpz_swap),
!def(mpq_swap),
!def(DISABLE_DEBUG),
def(MPS_CATCH_FPE),
True,
!def(mpf_swap),
