!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(mpq_out_str),
!def(mpf_pow_ui),
True,
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpz_swap),
!def(NOMPTEMP),
